Code;Libelle;Type;Commune;Cours d'eau;Masse d'eau;
09506X0048/P1;PONTONX-SUR-ADOUR - Louède;QZ;Pontonx sur l'Adour;;Alluvions de l'Adour et de l'Echez, l'Arros, la Bidouze et la Nive;
05125950;La Serène de Sanvensa au niveau de Lunac;STQ;Lunac;La Serène de Sanvensa;La Serène de sanvensa de sa source au confluent de l'Aveyron;
05061350;La Dordogne à Vayrac;STQ;Vayrac;La Dordogne;La Dordogne du confluent de la Cère au confluent du Tournefeuille;
09767X0033/F2;STATION DE POMPAGE (1979) F2;QZ;Orist;;sables, calcaires et dolomies de l'éocène-paléocène captif sud AG;
05167007;Le Ruisseau de Gélade à Ribouisse;STQ;Ribouisse;Ruisseau de Pech d'Acou;Ruisseau de Pech d'Acou;
05080742;Le Brayssou au niveau de Rives;STQ;Rives;Le Brayssou;Le Brayssou du barrage du Brayssou au confluent du Dropt;
08782X0005/P;TEMPLE-SUR-LOT - Laiterie de Broc;QZ;Temple sur Lot;;Alluvions du Lot;
05083650;L'Ourbise au moulin de Picon;STQ;Puch d'Agenais;l'Ourbise;L'Ourbise;
05088470;Le ruisseau de la Masse en aval de Cazals;STQ;Montcléra;Ruisseau de la Masse;Ruisseau de la Masse;
R1145043;étang de Saint Estèphe;STQL;Saint Estèphe;La Doue;;
05003850;Le Pontreau au niveau de Fontenet;STQ;Fontenet;Le Pontreau;;
05049950;Le Thonac à La Gibordie;STQ;Thonac;Le Thonac;Le Thonac de sa source au confluent de la Vézère;
05049300;Le ruisseau de Manaurie à Manaurie;STQ;Manaurie;Ruisseau de Manaurie;Le Manaurie de sa source au confluent de la Vézère;
05217600;Le Gave d'Azun à Lau Balagnas;STQ;Lau Balagnas;Gave d'Azun;Le Gave d'Azun du confluent du Masseys (inclus) au confluent du Gave de Pau;
05191800;La Gourgue à Sanguinet;STQ;Sanguinet;La Gourgue;La Gourgue;
05001510;Le Canal de l'Unima à Saint Hippolyte;STQ;Saint Hippolyte;Canal du Freussin à la Charente;;
05151100;Le Tarnon en amont de Rousses;STQ;Bassurels;Le Tarnon;Le Tarnon de sa source au confluent du Tarn;
05042060;Les Belles-Dames au niveau de Payzac;STQ;Payzac;Ruisseau des Belles-Dames;Ruisseau des Belles-Dames;
05192050;Le Ruisseau des Forges à Parentis;STQ;Parentis en Born;Ruisseau des Forges;Le Ruisseau des Forges de sa source à Étang de Parentis;
05203050;Le Saison à Ossas-Suhare;STQ;Ossas Suhare;Le Saison;Le Saison du confluent du Gave au confluent de l'Arangorena;
05018400;La Charente à Montignac sur Charente;STQ;Montignac Charente;La Charente;La Charente du confluent de la Tardoire au confluent du Puits des Preins (inclus);
05167003;La Vixiège en aval de Ribouisse;STQ;Lafage;La Vixiège;La Vixiège de sa source au confluent de l'Hers vif;
05142540;Ruisseau de Blasou à Ambialet;STQ;Ambialet;Ruisseau de Blasou;Ruisseau de Blasou;
09008X0028/F1;ALLONS - Landes de Pelbusocq;QZ;Allons;;Calcaires et faluns de l'aquitanien-burdigalien (miocène) captif;
06367X0172/F;CHEF-BOUTONNE - Les Outres;QZ;Chef Boutonne;;Calcaires du jurassique moyen  du BV de la Boutonne secteur hydro r6;
08851X0009/HY;Source de mayrinhac - Vimenet;QZ;Vimenet;;;
05183300;Le Nistos en amont de Nistos;STQ;Nistos;Ruisseau de Nistos;Le Nistos de sa source au confluent de la Neste d'Aure;
05077945;Le ruisseau de Carpouleyre à Brouqueyran;STQ;Brouqueyran;Ruisseau de Carpouleyre;Ruisseau de Carpouleyre;
10311X0008/F;OURSEBELILLE - Hondirou (puits drains rayonnants);QZ;Oursbelille;;Alluvions de l'Adour et de l'Echez, l'Arros, la Bidouze et la Nive;
S32-4003;Etang d'Aureilhan;STQL;Aureilhan;;Étang d'Aureilhan;
05234980;L'Adour à Aurensan;STQ;Aurensan;l'Adour;L'Adour du confluent de la Douloustre au confluent de l'Ailhet (canal);
10357X0074/HY;CALMONT - Lavoir de Calmont;QZ;Calmont;;;
10061X0027/F;LABATUT-RIVIERE - Puits communal (O6-86);QZ;Labatut Rivière;;Alluvions de l'Adour et de l'Echez, l'Arros, la Bidouze et la Nive;
05055940;Le Mayne à Grand Guillaume;STQ;Concèze;Ruisseau du Mayne;Le Mayne de sa source au confluent du Roseix;
05007950;La Rochette au niveau de Clion;STQ;Clion;La Rochette;La Rochette de sa source au confluent de la Seugne;
05101420;La Colagne en amont de Marvejols (Pont de la D30);STQ;Ribennes;La Colagne;La Colagne du confluent de la Tartaronne au confluent du Coulagnet;
05229000;Le Midour au niveau de Bougue;STQ;Bougue;La Midouze;Le Midour du lieu-dit Montaut au confluent de la Douze;
05068940;Le Granget à Condat;STQ;Condat;Ruisseau du Granget;;
05061400;Le Palsou à Bétaille;STQ;Bétaille;Le Palsou;Le Palsou de sa source au confluent de la Dordogne;
05151978;Le Rieutord au niveau de Caumont;STQ;Caumont;Le Rieutord;Le Rieutord;
05175020;La Louge à Lavernose-Lacasse;STQ;Lavernose Lacasse;La Louge;La Louge du confluent de la Housse (incluse) au confluent de la Garonne;
05058120;La Beuze au niveau de Ste Foy de Belves;STQ;Sainte Foy de Belvès;La Beuze;La Beuze de sa source au confluent de la Nauze;
05232290;La Boulise au niveau de Moncla;STQ;Moncla;La Boulise;La Boulise;
05022245;La Tiarde à Mouton;STQ;Mouton;La Tiarde;La Tiarde;
05234014;L'Arros au niveau de Bonnemazon;STQ;Bonnemazon;l'Arros;L'Arros de sa source au confluent du laca;
05061090;L'Alzou en aval de Rocamadour;STQ;Rocamadour;l'Alzou;L'Alzou de sa source au confluent de la Dordogne;
05085540;La Gardonne à Saint-Eutrope-de-Born;STQ;Saint Eutrope de Born;La Gardonne;La Gardonne;
05182050;Le ruisseau de Nistos à Aventignan;STQ;Aventignan;Ruisseau de Nistos;Le Nistos de sa source au confluent de la Neste d'Aure;
05163140;Le Bras inférieur Garonne dans Toulouse (rocade sud);STQ;Toulouse;Bras Inférieur Garonne;;
09781X0005/F;MAYLIS - Forage « Abbaye » -D30;QZ;Maylis;;sables, calcaires et dolomies de l'éocène-paléocène captif sud AG;
08098X0038/F;PRUDHOMAT - Puits de Pauliac;QZ;Prudhomat;;Alluvions de la Dordogne;
05114400;L'Auchie au niveau de Larroque-Engalin;STQ;Larroque Engalin;l'Auchie;L'Auchie;
05114490;Le Ruisseau de Lauze au niveau de Lectoure;STQ;Lectoure;Ruisseau de Lauze;La Lauze de sa source au confluent du Gers;
05148010;Le Ruisseau de Garène au niveau de Revens;STQ;Revens;Ruisseau de Garène;La Garène de sa source au confluent de la Dourbie;
05068150;La Maronne en aval de Salers;STQ;Sainte Eulalie;La Maronne;La Maronne de sa source au barrage d'Enchanet;
05129074;Le Ruisseau de Nadalou au niveau de Verlhac-Tescou;STQ;Verlhac Tescou;Ruisseau de Nadalou;Ruisseau de Nadalou;
08777X0028/P;PUCH-D'AGENAIS - Petite Fleur;QZ;Puch d'Agenais;;Alluvions de la Garonne aval;
05120017;La Brive à Albias;STQ;Albias;Ruisseau de la Brive;Ruisseau de la Brive;
05118703;Le Ruisseau de Lourbat au niveau de Monfort;STQ;Monfort;Ruisseau de Lourbat;Ruisseau de Lourbat;
07888X0023/S;PAULHAC - Neuf Fontaines, les Fraux;QZ;Valuéjols;;Volcanisme cantalien - BV Adour-Garonne;
05029860;Le Lary au niveau de Clerac;STQ;Clérac;Le Lary;Le Lary de sa source au confluent de l'Isle;
05002610;Le Ruisseau de la Chassieuse à Tonnay-Boutonne;STQ;Tonnay Boutonne;Ruisseau de la Chassieuse;Ruisseau de la Chassieuse;
05133280;L'Oulas au niveau de Paulinet;STQ;Paulinet;l'Oulas;L'Oulas de sa source au confluent du Dadou;
07093X0066/HY;TOUVRE -  Le Bouillant (source de la Touvre);QZ;Touvre;;Calcaires du karst de la Rochefoucauld BV Charente;
05201057;La Joyeuse en amont de Saint-Palais;STQ;Saint Palais;La Joyeuse;La Joyeuse du confluent du Saint-Martin au confluent de la Bidouze;
05091231;Le Goutepeyrouse à Latronquière (amont);STQ;Latronquière;Ruisseau de Goutepeyrouse;Ruisseau de Goutepeyrouse;
08278X0231/S;PORTETS - Source du Lavoir;QZ;Portets;;Calcaires et sables de l'oligocène à l'ouest de la Garonne;
05051050;Le Coly à sa source;STQ;Cassagne;Le Coly;Le Coly;
09521X0064/S;Source de berdoulet - Hontanx;QZ;Hontanx;;;
05139220;L'Agout entre Burlats et Castres;STQ;Burlats;l'Agout;L'Agout du lieu-dit la Fontaine Douce au confluent de la Durenque;
05235080;L'Alaric en aval de Ordizan;STQ;Ordizan;Canal d'Alaric;Canal d'Alaric;
05170950;L'Estrique de Saint-Victor en aval de Saint-Victor-Rouzau;STQ;Saint Victor Rouzaud;l'Estrique;L'Estrique de saint-Victor de sa source au confluent de l'Ariège;
05074700;Le ruisseau de Moulinan à Quinsac;STQ;Camblanes et Meynac;Ruisseau de Moulinan;Ruisseau de Moulinan;
05018650;L'Auge à Marcillac-Lanville;STQ;Marcillac Lanville;Le Sauvage;Le Sauvage;
09491X0009/F3;MOLIETS-ET-MAA - Houron (AEP F3);QZ;Moliets et Maa;;Calcaires et faluns de l'aquitanien-burdigalien (miocène) captif;
05082000;L'Avance au Pont des Sables;STQ;Montpouillan;l'Avance;L'Avance du confluent de la Bretagne au confluent de la Garonne;
10306X0245/F;BAUDRIEX;QZ;Baudreix;;Alluvions du gave de Pau;
07334X0508/SOURCE;RONSENAC - Font Longue;QZ;Ronsenac;;Calcaires, grés et sables du turonien-coniacien-santonien libre BV Isle-Dronne;
05045250;La Lidoire en amont du Léchou;STQ;Saint Michel de Montaigne;La Lidoire;La Lidoire de sa source au confluent de la Dordogne;
05024305;La Moulde à Massignac;STQ;Massignac;La Moulde;La Moulde;
05130000;Le Tarn à Villemur;STQ;Villemur sur Tarn;Le Tarn;Le Tarn du confluent de l'Agout au confluent du Tescou;
05015800;L'Anguienne au Lion de St-Marc;STQ;Dirac;l'Anguienne;L'Anguienne;
05199250;Le Bastan à Bidarray;STQ;Bidarray;Le Bastan;Le Bastan de sa source au confluent de la Nive;
09858X0233/F;CAMBOUNET SUR LE SOR- TRES CANTOUS;QZ;Cambounet sur le Sor;;Alluvions du Tarn, du Dadou et de l'Agout secteurs hydro o3-o4;
05094810;Le Lot à Livinhac;STQ;Decazeville;Le Lot;Le Lot du confluent du Dourdou au confluent de la Diège;
05090078;Le Célé en aval de Figeac (Amont du déversoir d'orage);STQ;Figeac;Le Célé;Le Célé du confluent du Veyre au confluent du Drauzou;
07781X0014/F8;CARCANS - Forage CEL;QZ;Carcans;;;
05081980;Le Sérac à Gaujac;STQ;Gaujac;Le Sérac;Le Sérac;
05007955;Le Tort à St Sigismond de Clermont;STQ;Saint Sigismond de Clermont;Le Tort;Le Tort;
05125407;Ruisseau de Connillou à Saint-Just-sur-Viaur;STQ;Saint Just sur Viaur;Ruisseau de Connillou;Ruisseau de Connillou;
05184700;La Jalle du Nord au niveau de St Laurent Médoc;STQ;Saint Laurent Médoc;Jalle du Nord;Jalle du Nord;
05216135;L'Ouzom à Igon;STQ;Igon;l'Ouzom;L'Ouzom de sa source au confluent du Gave de Pau;
05021120;La Tardoire à Eymouthiers;STQ;Ecuras;La Tardoire;La Tardoire du confluent de la Colle au confluent des Bonnettes;
05162620;Le Ruisseau de la Saverette au niveau de Savères;STQ;Savères;Ruisseau de la Saverette;Ruisseau de la Saverette;
05055000;La Corrèze en amont de Tulle (Pont du CD58);STQ;Angles sur Corrèze;La Corrèze;La Corrèze du confluent du Forgés au confluent de la Solane;
05118707;L'Arrats au niveau de St Antonin;STQ;Saint Antonin;l'Arrats;L'Arrats du barrage-réservoir de l'Astarac au confluent de la Garonne;
05236860;La Nivelle à St Jean de Luz (Amont pont SNCF);STQ;Saint Jean de Luz;La Nivelle;La Nivelle de sa source à l'océan;
05002500;La Boutonne à Les Vinçons;STQ;Champdolent;La Boutonne;La Boutonne du confluent de la Nie au confluent de la Charente;
07061X0075/S;VAUX-SUR-MER - Bel Air;QZ;Vaux sur Mer;;Calcaires et sables du turonien coniacien captif nord-aquitain;
05000115;Le Canal de la Seudre à la Charente au niveau d'Hers Brouage;STQ;Hiers Brouage;Canal de la Seudre à la Charente;Canal de la Seudre à la Charente;
05148680;La Barbade à Aguessac;STQ;Aguessac;La Barbade;La Barbade;
05068480;La Luzège en aval de Meymac;STQ;Meymac;La Luzège;La Luzège de sa source au confluent du Cheny (inclus);
O2215003;Retenue de l'Estrade;STQL;Belflou;;Retenue de l'Estrade;
05157359;L'Hers-Mort à Toulouse, au Palays (amont STEP);STQ;Toulouse;l'Hers;L'Hers Mort du confluent du Marès au confluent de la Garonne;
07577X0017/HY;SAINT-VINCENT-JALMOUTIERS - Lavoir;QZ;Saint Vincent Jalmoutiers;;Calcaires du sommet du crétacé supérieur du Périgord;
08312X0010/HY;SAINT-AVIT-RIVIERE - source du Couderc;QZ;Saint Avit Rivière;;Calcaires, grés et sables du crétacé sup basal libre en Périgord Sarladais Bouriane;
05111360;La Baisole au niveau de Campuzan;STQ;Campuzan;La Baisole;La Baïsole de sa source au barrage de Puydarrieux;
05165255;La Lèze à Lézat-sur-Lèze;STQ;Lézat sur Lèze;La Lèze;La Lèze de sa source au confluent de l'Ariège;
07303X0523/F;CHENAC ST SEURIN D'UZET - Grattechat (forage);QZ;Chenac Saint Seurin d'Uzet;;Calcaires, grés et sables de l'infra-cénomanien/cénomanien captif nord-quitain;
05091695;La Ressègue à Leynhac;STQ;Leynhac;La Ressègue;La Ressègue;
05104900;Le Ruisseau du Béas au niveau de Barbaste;STQ;Barbaste;Ruisseau du Béas;Ruisseau du Béas;
06367X0139/139;FONTENILLE - Les Inchauds;QZ;Fontenille Saint Martin d'Entraigues;;Calcaires du jurassique moyen charentais captif;
10046X0090/P2;ARTIX - P2;QZ;Artix;;Alluvions du gave de Pau;
05209500;Le Laà à Loubieng;STQ;Loubieng;Le Laâ;Le Laà de sa source au confluent du Gave de Pau;
09772X0010/F;SORT-EN-CHALOSSE - Lacamesure - D21;QZ;Sort en Chalosse;;Calcaires et faluns de l'aquitanien-burdigalien (miocène) captif;
05051000;La Vézère à Aubas;STQ;Aubas;La Vézère;La Vézère du confluent de l'Elle au confluent de la Dordogne;
05225000;Le Retjon à l'aval de Rion des Landes;STQ;Carcen Ponson;Le Retjons;Le Retjons de sa source au confluent de la Midouze;
05217300;Le Gave de Pau au barrage de Vidalos;STQ;Agos Vidalos;Gave de Pau;Le Gave de Pau du confluent du Gave de Cauterets au confluent du Nès;
07062X0033/P3;LE CHAY - Pompierre P3;QZ;Chay;;Calcaires, grés et sables du turonien-coniacien libre BV Charente-Gironde;
05145650;Le Muze à St Beauzely;STQ;Saint Beauzély;La Muze;La Muze de sa source au confluent du Tarn;
05044200;La Valouse au niveau de St Paul la Roche;STQ;Saint Paul la Roche;La Valouse;La Valouse de sa source au confluent de l'Isle;
05019940;La Bonnieure à Saint-Ciers-sur-Bonnieure;STQ;Saint Ciers sur Bonnieure;La Bonnieure;La Bonnieure du confluent de la Gane au confluent de la Charente;
O7115003;Lac du Ganivet;STQL;Ribennes;;;
05047550;La Conne à Bergerac;STQ;Bergerac;La Conne;La Conne;
05132800;L'Assou au niveau de Le Fraysse;STQ;Paulinet;l'Assou;Le Nandou de sa source au confluent du Dadou;
05145700;Le Cernon à Saint-Rome de Cernon;STQ;Saint Georges de Luzençon;Le Cernon;Le Cernon du confluent du Soulzon au confluent du Tarn;
09521X0003/SOURCE;PUJO LE PLAN - Sources - D24;QZ;Pujo le Plan;;Sables fauves BV Adour région hydro q;
05202150;Le Saleys à Salies de Béarn;STQ;Salies de Béarn;Le Saleys;Le Saleys du confluent du Beygmau (inclus) au confluent du Gave d'Oloron;
05002800;La Trézence au niveau de Puyrolland;STQ;Puyrolland;La Trézence;La Trézence de sa source au confluent de la Boutonne;
05234006;Le Bouès au niveau de Beaumarchés;STQ;Beaumarchés;Le Bouès;Le Bouès du lieu-dit le Moulin au confluent de l'Arros;
05238485;La Bidassoa au niveau de Biriatou;STQ;Biriatou;La Bidassoa;Estuaire Bidassoa;
05054010;La Saint-Bonnette au niveau d'Espagnac;STQ;Espagnac;La Saint-Bonnette;Le Saint Bonnette de sa source au lieu-dit le bois de St Mur;
05055350;La Corrèze en amont des Carderies;STQ;Corrèze;La Corrèze;La Corrèze du confluent du Forgés au confluent de la Solane;
05089050;Le Lot en amont de Cahors;STQ;Cahors;Le Lot;Le Lot du confluent du Célé au confluent de la Lémance;
05154350;La Tessonne à Bourret;STQ;Bourret;Ruisseau de Tessonne;Ruisseau de Tessonne;
05039200;La Manoire en aval de Boulazac;STQ;Boulazac Isle Manoire;Le Manoire;Le Manoire du confluent du Saint-Geyrac au confluent de l'Isle;
05102030;La Nize au niveau de St Bauzile;STQ;Saint Bauzile;La Nize;La Nize;
07596X0010/F;ANTONNE-ET-TRIGONANT- Haut Trigonant;QZ;Antonne et Trigonant;;Calcaires et sables du turonien coniacien captif nord-aquitain;
08858X0210/S;Les VIGNES - Source Bouldoire;QZ;Vignes;;Calcaires des grands Causses BV Tarn;
05234020;L'Echez à Maubourguet;STQ;Maubourguet;l'Echez;L'Echez du confluent du canal du Moulin au confluent de l'Adou;
05149500;La Jonte en aval de Meyrueis;STQ;Meyrueis;La Jonte;La Jonte du confluent du Béthuzon au confluent du Tarn;
10536X0057/HY;ASTE -  Source de Medous (Hount Negro);QZ;Asté;;Terrains plissés du BV Adour secteur hydro q0;
05237200;La Nivelle au niveau de St Pée sur Nivelle (Frontière);STQ;Saint Pée sur Nivelle;La Nivelle;La Nivelle de sa source à l'océan;
05141020;La Saudronne à Coufouleux;STQ;Coufouleux;Ruisseau de la Saudrone;;
05091070;Le Célé à Figeac (Abattoirs à Figeac);STQ;Figeac;Le Célé;Le Célé du confluent du Veyre au confluent du Drauzou;
05093600;Le Riou Viou en amont de Viviez;STQ;Viviez;Riou Viou;Le Riou Viou de sa source au confluent du Riou Mort;
05079400;Le Dropt à Montségur;STQ;Monségur;Le Dropt;Le Dropt du confluent de l'Escourou au confluent de la Garonne;
05079800;Le Ruisseau de Malrome à Auriac-sur-Dropt;STQ;Auriac sur Dropt;Ruisseau de Malromé;Ruisseau de Malromé;
05235600;L'Adour en aval de Momères;STQ;Salles Adour;l'Adour;L'Adour du confluent de la Douloustre au confluent de l'Ailhet (canal);
05077400;Le Ciron à Escaudes;STQ;Lerm et Musset;Le Ciron;La Ciron de sa source au confluent de la Garonne;
05125450;Le Giffou au niveau de Lissart;STQ;Selve;Le Giffou;Le Giffou de sa source au confluent du Céor;
05061112;Le ruisseau d'Aynac à Aynac;STQ;Aynac;Ruisseau de Trémenouze;Le Trémenouze de sa source au confluent de l'Ouysse;
05092000;Le Lot à La Tour de Faure;STQ;Tour de Faure;Le Lot;Le Lot du confluent de la Diège au confluent du Célé;
05225320;Le ruisseau de Lassus au niveau Ousse-Suzan;STQ;Ousse Suzan;Ruisseau de Lassus;Ruisseau de Lassus;
05091540;La Moulègre amont confluence de la Rance;STQ;Boisset;Le Moulègre;Le Moulègre;
05173380;L'Ariège à Savignac-les-Ormeaux;STQ;Savignac les Ormeaux;l'Ariège;L'Ariège de sa source au confluent de l'Aston;
05218550;Le Bastan en aval de Barèges;STQ;Betpouey;Le Bastan;Le Bastan du confluent du Dets Coubous (inclus) au confluent du Gave de Pau;
10342X0241/F;NOE - Peyrefil;QZ;Noé;;Alluvions de la Garonne moyenne et du Tarn aval, la Save, l'Hers mort et le Girou;
05068160;La Maronne au droit de St Martin Valmeroux;STQ;Saint Martin Valmeroux;La Maronne;La Maronne de sa source au barrage d'Enchanet;
08866X0047/BURLE;SAINTE EUNEMIE - Source de BURLE;QZ;Sainte Enimie;;Calcaires des grands Causses BV Tarn;
09857X0102/F;LALBAREDE- Station de pompage puits 2;QZ;Guitalens L'Albarède;;Alluvions du Tarn, du Dadou et de l'Agout secteurs hydro o3-o4;
05000245;La Devise à Muron;STQ;Muron;La Devise;La Devise du lieu-dit le gué Charreau au confluent de la Charente;
05127900;La Serre à Pierrefiche;STQ;Pierrefiche;Ruisseau de Serre;La Serre de sa source au confluent de l'Aveyron;
05079410;Le ruisseau de la Lane à Dieulivol;STQ;Dieulivol;Ruisseau de la Lane;Ruisseau de la Lane;
05091559;Le Ruisseau de Leynhaguet à Leynhac;STQ;Leynhac;Ruisseau de Leynhaguet;Ruisseau de Leynhaguet;
05127100;L'Aveyron au niveau de Les Balades;STQ;Olemps;l'Aveyron;L'Aveyron du confluent de la Briane au confluent de l'Alzou;
O2035003;Barrage de Poucharramet;STQL;Rieumes;;Retenue de la Bure ou de Poucharramet;
05154100;La Gimone à Boulogne sur Gesse;STQ;Boulogne sur Gesse;La Gimone;La Gimone de sa source au barrage de Lunax;
05057050;La Vézère en amont d'Uzerche;STQ;Uzerche;La Vézère;La Vézère du confluent de la Soudaine au confluent du Bradascou;
05231900;L'Adour à Aire sur l'Adour;STQ;Barcelonne du Gers;l'Adour;L'Adour du confluent de l'Echez au confluent de la Midouze;
05063980;Le ruisseau de Gavanel;STQ;Omps;Ruisseau de Gavanel;Ruisseau de Gavanel;
05060600;La Marcillande à Payrignac;STQ;Payrignac;Non nommé;;
09035X0202/P1;CAUDECOSTE - Beaujardin;QZ;Caudecoste;;Alluvions de la Garonne moyenne et du Tarn aval, la Save, l'Hers mort et le Girou;
05066090;La Cère au niveau de Saint-Jacques-des-Blats;STQ;Saint Jacques des Blats;La Cère;La Cère de sa source au confluent de la Jordanne;
05013152;Le Tourtrat à l'entrée du bourg de Réparsac;STQ;Réparsac;Le Tourtrat;Le Tourtrat;
08285X0036/F;RIONS - Stade;QZ;Rions;;Calcaires de l'Entre 2 Mers du BV de la Garonne;
06837X0075/F;LA-CHAPELLE-DES-POTS - Vallée de Chez Mallet F;QZ;Chapelle des Pots;;Calcaires, grés et sables de l'infra-cénomanien/cénomanien captif nord-quitain;
05068365;Le Doustre à Saint-Pardoux-la-Croisille;STQ;Saint Pardoux la Croisille;Le Doustre;Le Doustre du barrage de la Valette au barrage d'Argentat;
05158280;Le Peyrencou au niveau de Loubens-Lauragais;STQ;Loubens Lauragais;Le Peyrencou;Le Peyrencou;
05011720;La Maury au Pont des Ecures;STQ;Val des Vignes;La Maury;La Maury;
05125455;La Durenque au niveau de Requista;STQ;Réquista;La Durenque;La Durenque;
05134310;Le Sor à Sémalens;STQ;Sémalens;Le Sor;Le Sor du lac des Cammazes au confluent de l'Agout;
05211900;La Bayse à Lacommande;STQ;Aubertin;La Bayse;La Bayse de sa source au confluent du Gave de Pau (inlus);
05035272;Le Dournaujou à Dournazac (La Monnerie);STQ;Dournazac;Le Dournaujou;Le Dournaujou;
05022077;Affluent de la Doue à St Estèphe (ruisseau de Chevalarias ?);STQ;Saint Estèphe;;;
05068982;Le Chavary à Marchastel;STQ;Marchastel;Le Chavary;;
05136900;L'Arnette en amont de Mazamet;STQ;Mazamet;l'Arnette;L'Arnette de sa source au confluent du Thoré;
O7125013;Lac du Moulinet;STQL;Buisson;;;
10577X0120/F;LA-TOUR-DU-CRIEU - Les Charmettes;QZ;Tour du Crieu;;Alluvions de l'Ariège et affluents;
05053960;Le ruisseau du Mazet au niveau de Cornil;STQ;Cornil;Ruisseau du Mazet;Ruisseau du Mazet;
05084825;L'Autonne à Ste-Livrade-sur-Lot;STQ;Sainte Livrade sur Lot;l'Autonne;L'Autonne;
05136200;Le Linoubre en aval du Barrage des Montagnès à Mazamet;STQ;Mazamet;Le Linoubre;Le Linoubre;
05020900;La Tardoire en aval de La Rochefoucauld;STQ;Rivières;La Tardoire;La Tardoire du confluent des Bonnettes au confluent du Bandiat;
05053030;Le Maumont Noir au niveau de Ste Féréole;STQ;Sainte Féréole;Le Maumont Noir;Le Maumont Noir;
08785X0002/F;CLAIRAC - LE BROT;QZ;Clairac;;Calcaires du jurassique moyen et supérieur captif;
09614X0036/GL;CORNUS - Source LA SORGUES -S72;QZ;Cornus;;Calcaires des grands Causses BV Tarn;
08073X0017/HY;LE BUGUE - Ladouch;QZ;Bugue;;Calcaires, grés et sables du crétacé sup basal libre en Périgord Sarladais Bouriane;
05157850;L'Hers à Salle sur l'Hers;STQ;Salles sur l'Hers;l'Hers;L'Hers Mort de sa source au confluent du Marès;
05125910;La Serène de Sanvensa au niveau de La Fouillade;STQ;Fouillade;La Serène de Sanvensa;La Serène de sanvensa de sa source au confluent de l'Aveyron;
05156700;La Garonne à Ondes;STQ;Ondes;La Garonne;La Garonne du confluent de l'Aussonnelle au confluent du Tarn;
05042950;Le Ravillou au niveau de Coulaures;STQ;Saint Pantaly d'Excideuil;Le Ravillou;Le Ravillou;
05140200;La Caunaise en aval de Lacaune;STQ;Lacaune;Rivière Caunaise;Rivière Caunaise;
05096360;Le Brezons au niveau de Paulhenc;STQ;Paulhenc;Le Brezons;Le Brezons de sa source au barrage de Sarrans;
05093000;Le Lot à Capdenac (Pont de Capdenac);STQ;Capdenac Gare;Le Lot;Le Lot du confluent du Dourdou au confluent de la Diège;
R0015063;Barrage du Mas Chaban;STQL;Lésignac Durand;;Retenue du Mas Chaban;
05095170;Le Servan à St Félix de Lunel;STQ;Saint Félix de Lunel;Ruisseau de Servan;Ruisseau de Servan;
08558X0206/HY;SOTURAC - Source Bleue S59;QZ;Soturac;;Calcaires et marnes du jurassique sup du BV du Lot secteur hydro o8;
05069972;La Méouzette au niveau de Saint Oradoux de Chirouze;STQ;Saint Oradoux de Chirouze;La Méouzette;La Méouzette de l'étang de Méouze au confluent du Chavanon;
05134365;Le Taurou;STQ;Dourgne;Ruisseau du Taurou;Ruisseau du Taurou;
05091587;Le Ruisseau du Meyniel au niveau de Vitrac;STQ;Vitrac;Ruisseau du Meyniel;;
05000248;La Devise au niveau de St Germain de Marencennes (Pont de la D911);STQ;Saint Germain de Marencennes;La Devise;La Devise de sa source au lieu-dit le gué Charreau;
05097200;Le Lander au niveau de Saint Flour;STQ;Saint Georges;Le Lander;Le Lander du confluent du Babory (inclus) au barrage de Grandval;
06865X0009/F;LA ROCHEFOUCAULD - Les Courres (château d'eau);QZ;Rochefoucauld;;Calcaires du karst de la Rochefoucauld BV Charente;
05109010;La Grande Baïse à l'Isle de Noé;STQ;Isle de Noé;La Baise;La Baïse du confluent de la Baïsole au confluent de l'Auloue;
08096X0018/F;MONTVALENT - La Rive;QZ;Montvalent;;Alluvions de la Dordogne;
O4745003;Retenue de la Bancalié;STQL;Roumégoux;;Retenue de la Bancalié;
05054060;La Céronne au niveau de Tulle;STQ;Tulle;La Céronne;La Céronne de la commune de Lestrade au confluent de la Corrèze;
O2335073;Retenue de la Balerme;STQL;Verfeil;;;
09065X0008/F;MILHARS - Lizoule;QZ;Milhars;;Alluvions de l'Aveyron et de la Lère;
05074750;Le Saucats à Saint Médard d'Eyrans;STQ;Saint Médard d'Eyrans;Le Saucats;Le Saucats;
05142120;Le Jauzou à Albi;STQ;Albi;Ruisseau de Jauzou;Ruisseau de Jauzou;
05176900;Le Volp en amont de Contrazy;STQ;Contrazy;Le Volp;Le Volp de sa source au confluent de la Garonne;
09261X0010/N2;Roquefort -Chemin de Crouze -Q28;QZ;Roquefort;;Calcaires du sommet du crétacé supérieur captif sud aquitain;
09322X0025/HY;LOUBERS - Bateste, Puech Rouge;QZ;Loubers;;Molasses du bassin de l'Aveyron;
05035217;La Malencourie à Champs-Romain;STQ;Champs Romain;Ruisseau de la Malincourie;Ruisseau de la Malincourie;
05047450;La Louyre à Lamonzie Montastruc;STQ;Lamonzie Montastruc;La Louyre;La Louyre de sa source au confluent du Caudeau;
05125000;Le Viaur à La Garde / Viaur;STQ;Montirat;Le Viaur;Le Viaur du confluent du Céor au confluent de l'Aveyron;
